item_id,title,predicted_score
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),1.5715857859743418
603,Rear Window (1954),1.5381365330495163
100,Fargo (1996),1.5307468290357438
513,"Third Man, The (1949)",1.4124829970851047
64,"Shawshank Redemption, The (1994)",1.392405770205294
318,Schindler's List (1993),1.3814650907939698
357,One Flew Over the Cuckoo's Nest (1975),1.370877479821757
511,Lawrence of Arabia (1962),1.3213647024416963
178,12 Angry Men (1957),1.2796322805760398
480,North by Northwest (1959),1.1954985841112489
